time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,estrus
1,15.100694444444445,29.025,13.254926198555555,20.39097222222222,27.854619006451387,28.75931940777778,18.506544328902777,26.110416666666666,30.195165209166664,21.509027777777778,18.82638888888889,18.39082036388889,14.884027777777778,22.643055555555556,26.969444444444445,22.192795306458333,26.272916666666667,32.784188085972225,23.87434607805556,33.44909499611111,22.48494892909722,21.24575807347222,24.838261662986113,27.2294995925,26.24975785784722,28.1875,False
2,16.54513888888889,31.14260390027778,20.234288127555555,25.757732204472223,39.44529248090278,32.536951370555556,23.358406434777777,33.12922741979167,29.794444444444444,27.936803694444446,20.56597222222222,22.07058023611111,20.83888888888889,21.413888888888888,27.869164346944444,21.538368390694444,26.37836217486111,28.280982931875002,20.736805555555556,28.337289440555555,25.325,18.458952517916664,25.380622774097223,26.530277268402777,27.51271016013889,31.634722222222223,True
3,14.841666666666667,22.27932852611111,16.020203976333335,21.79662109336111,32.79345967243056,24.632364574166665,17.078338850375,26.42152777777778,25.398637431388888,15.969790736111111,17.220855830902778,16.703269744444444,19.115277777777777,24.14027777777778,46.81599708562499,20.025434195347223,28.150694444444444,31.887660308194448,23.872916666666665,24.76597222222222,22.774305555555557,20.750543924722223,25.244444444444444,29.43358302770833,28.985626826805557,28.987002568819445,False
4,14.531944444444445,22.761111111111113,15.308083742277777,19.677777777777777,19.919444444444444,26.99515620416667,20.645833333333332,25.117361111111112,24.290972222222223,24.923955541666665,17.39793916423611,15.318699380555556,19.529166666666665,22.94375,25.740972222222222,19.965711973125,26.580445508194444,26.00625,23.64027777777778,28.62152777777778,19.20277777777778,19.228246442638888,24.239583333333332,35.983999185,19.916666666666668,24.74375,False
5,18.964583333333334,24.2,21.406260758722222,21.080695528930555,27.71875,27.117652741111115,16.144044328902776,26.014583333333334,29.72988743138889,20.40381851388889,19.089605830902777,22.56487282222222,15.559027777777779,21.507638888888888,25.433089697847223,20.46710086201389,28.114583333333332,24.870566265208335,23.614583333333332,23.77777777777778,20.74883781798611,18.915972222222223,32.36971331861111,24.246415953541664,22.22267452451389,22.96736111111111,False
6,17.925694444444446,28.53125,16.955371051944443,22.372362195597223,33.34773450958333,29.948079796944448,22.246261034083332,26.938255197569443,39.413299725555554,27.206596291666663,21.625716942013888,25.768004936111115,19.849305555555556,22.869444444444444,24.37847222222222,19.099305555555556,34.65233758833334,25.815277777777776,24.07847222222222,24.756944444444443,20.951615595763887,19.129016146944444,27.430689992638886,21.593055555555555,18.906944444444445,24.12866923548611,True
7,16.457638888888887,26.820833333333333,13.057703976333332,18.9625,19.200950588125,23.667086796388887,17.34695547852778,23.709027777777777,24.227135973888892,20.886111111111113,23.03611111111111,21.644885791666667,20.541666666666668,24.54513888888889,25.304861111111112,24.009461973125,28.96808971583333,24.580288487430558,27.026469933888887,23.56875,18.959254484652778,18.30949644263889,31.34861111111111,17.87986111111111,21.49513888888889,22.447222222222223,False
8,14.307638888888889,24.55248798194444,13.777842865222222,21.038982204472223,21.196527777777778,22.658753463055557,17.165972222222223,23.18611111111111,31.458359653611108,20.471527777777776,18.97222222222222,19.931047522222222,24.415277777777778,23.023611111111112,28.683333333333334,22.527865421180557,21.99550319125,23.695566265208335,28.257679411388892,21.349305555555556,21.090972222222224,18.203940887083334,26.09041221486111,20.01527777777778,24.102777777777778,23.56616923548611,False
9,13.92876117675,30.397303151944445,12.577148420777778,20.261852213347222,22.615972222222222,24.06917012972222,17.93111662815278,29.25138888888889,27.764662294166666,18.145138888888887,20.79722222222222,19.477777777777778,17.446527777777778,25.179166666666667,27.150694444444444,20.643923946250002,23.25215165388889,25.213194444444444,23.544444444444444,27.301388888888887,31.01597222222222,16.686579775972223,25.864650551875002,18.98263888888889,20.20347222222222,35.04047479104167,False
10,15.810705621194444,31.198402244999997,13.473990877055556,23.45648328895833,29.186367254791666,31.900197760833333,21.344444444444445,30.919444444444444,34.718828960833335,22.824305555555554,21.054861111111112,23.570138888888888,19.319809992152777,21.027083333333334,26.84375,22.162239750902778,30.319808746805556,22.852083333333333,34.35,26.892844996111112,23.909481191527775,21.719369184583332,28.864852207500004,27.661888787013886,26.579376826805557,24.538888888888888,True
11,16.867650065638887,25.43782371888889,18.33485239711111,19.11875,22.76875,22.072788166944445,15.75,27.604861111111113,26.252804098055552,21.649305555555557,19.070138888888888,22.3775753,18.37152777777778,20.663861521666668,25.361805555555556,38.69844118652777,30.990642080138887,24.219177376319447,29.175694444444446,27.57986111111111,24.20670341375,17.107731254444445,28.579995548194443,37.126971509097224,21.19375,26.9375,False
12,15.623611111111112,24.953297279166666,12.655620643,17.770185546680555,16.638194444444444,34.5094479075,18.921822106680555,28.698611111111113,28.811805555555555,19.03611111111111,19.149328053125,18.851388888888888,15.793421103263888,29.303444855,44.423611111111114,30.586805555555557,30.71264420763889,34.289209505277775,26.18892941138889,52.05228987555555,19.74420341375,18.115202517916664,28.916106659305555,23.871611009236112,20.466666666666665,22.915972222222223,False
13,14.937094510083332,27.18136485277778,14.722102806055556,19.427223306708335,21.157456731805556,22.023318938875,16.478205478527777,30.081310753125,34.1284985425,22.463540736111113,22.68266138645833,19.899544425,16.413194444444443,18.653472222222224,29.457638888888887,21.555555555555557,28.697806619305553,26.542521419305558,26.300694444444446,21.13838274277778,15.000921151319444,19.1220717025,26.216666666666665,21.7625,19.12614674673611,22.18978034659722,False
14,20.214061308027777,24.232268163333337,15.863834560166667,23.069537760027778,28.925512287361112,24.345833333333335,17.090011034083332,29.385416666666668,28.661805555555556,20.446527777777778,29.775716942013887,23.079759872222223,21.086805555555557,22.020833333333332,29.055555555555557,31.74739616847222,22.239583333333332,41.023664659375,24.473651633611112,15.285206107222221,11.918055555555556,19.777551998194443,23.57027332597222,21.755555555555556,20.151841191180555,13.441666666666666,True
